surface	surface_slp1	depth	freq	band	members	members_ru	ladder_tails	rungs_json
rasabandhakarīṁ	rasabanDakarIṁ	3	7	редкие	rasa|bandha|kara	вкус|Бандха|руки	kara|bandha-kara|rasa-bandha-kara	"[{""step"": 1, ""member"": ""kara"", ""ru"": ""руки"", ""ru_variants"": [""руки"", ""рука"", ""рукой""], ""tail"": ""kara"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""bandha"", ""ru"": ""Бандха"", ""ru_variants"": [""Бандха"", ""бандха"", ""узы""], ""tail"": ""bandha-kara"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}, {""step"": 3, ""member"": ""rasa"", ""ru"": ""вкус"", ""ru_variants"": [""вкус"", ""сок"", ""сущность""], ""tail"": ""rasa-bandha-kara"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rasagandhau	rasaganDO	2	7	редкие	rasa|gandha	вкус|запах	gandha|rasa-gandha	"[{""step"": 1, ""member"": ""gandha"", ""ru"": ""запах"", ""ru_variants"": [""запах"", ""запахи"", ""запаха""], ""tail"": ""gandha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rasa"", ""ru"": ""вкус"", ""ru_variants"": [""вкус"", ""сок"", ""сущность""], ""tail"": ""rasa-gandha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rasagarbhe	rasagarBe	2	7	редкие	rasa|garbha	вкус|зародыш	garbha|rasa-garbha	"[{""step"": 1, ""member"": ""garbha"", ""ru"": ""зародыш"", ""ru_variants"": [""зародыш"", ""зародыша"", ""плод""], ""tail"": ""garbha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rasa"", ""ru"": ""вкус"", ""ru_variants"": [""вкус"", ""сок"", ""сущность""], ""tail"": ""rasa-garbha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rasamātraṁ	rasamAtraṁ	2	7	редкие	rasa|mātra	вкус|только	mātra|rasa-mātra	"[{""step"": 1, ""member"": ""mātra"", ""ru"": ""только"", ""ru_variants"": [""только"", ""лишь"", ""матери""], ""tail"": ""mātra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rasa"", ""ru"": ""вкус"", ""ru_variants"": [""вкус"", ""сок"", ""сущность""], ""tail"": ""rasa-mātra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rasavaraṁ	rasavaraṁ	2	7	редкие	rasa|vara	вкус|лучший	vara|rasa-vara	"[{""step"": 1, ""member"": ""vara"", ""ru"": ""лучший"", ""ru_variants"": [""лучший"", ""дар"", ""наилучший""], ""tail"": ""vara"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rasa"", ""ru"": ""вкус"", ""ru_variants"": [""вкус"", ""сок"", ""сущность""], ""tail"": ""rasa-vara"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rasavādibhiḥ	rasavAdiBiH	2	7	редкие	rasa|vādin	вкус|говорящие	vādin|rasa-vādin	"[{""step"": 1, ""member"": ""vādin"", ""ru"": ""говорящие"", ""ru_variants"": [""говорящие"", ""говорят"", ""говорящему""], ""tail"": ""vādin"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rasa"", ""ru"": ""вкус"", ""ru_variants"": [""вкус"", ""сок"", ""сущность""], ""tail"": ""rasa-vādin"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rasādibhyo	rasAdiByo	2	7	редкие	rasa|ādi	вкус|начало	ādi|rasa-ādi	"[{""step"": 1, ""member"": ""ādi"", ""ru"": ""начало"", ""ru_variants"": [""начало"", ""другие"", ""и т.д.""], ""tail"": ""ādi"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rasa"", ""ru"": ""вкус"", ""ru_variants"": [""вкус"", ""сок"", ""сущность""], ""tail"": ""rasa-ādi"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rathakāyaṁ	raTakAyaṁ	2	7	редкие	ratha|kāya	колесницу|тело	kāya|ratha-kāya	"[{""step"": 1, ""member"": ""kāya"", ""ru"": ""тело"", ""ru_variants"": [""тело"", ""тела"", ""телом""], ""tail"": ""kāya"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""ratha"", ""ru"": ""колесницу"", ""ru_variants"": [""колесницу"", ""колесница"", ""колесницы""], ""tail"": ""ratha-kāya"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
raṇāgre	raRAgre	2	7	редкие	raṇa|agra	в битве|вначале	agra|raṇa-agra	"[{""step"": 1, ""member"": ""agra"", ""ru"": ""вначале"", ""ru_variants"": [""вначале"", ""впереди"", ""во главе""], ""tail"": ""agra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""raṇa"", ""ru"": ""в битве"", ""ru_variants"": [""в битве"", ""в сражении"", ""в бою""], ""tail"": ""raṇa-agra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
revājale	revAjale	2	7	редкие	revā|jala	Рева|воды	jala|revā-jala	"[{""step"": 1, ""member"": ""jala"", ""ru"": ""воды"", ""ru_variants"": [""воды"", ""вода"", ""воду""], ""tail"": ""jala"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""revā"", ""ru"": ""Рева"", ""ru_variants"": [""Рева"", ""Рева — Ревущая, другое название реки Нармада"", ""Реву""], ""tail"": ""revā-jala"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rukmapṛṣṭhaṁ	rukmapfzWaṁ	2	7	редкие	rukma|pṛṣṭha	золотое украшение|спина	pṛṣṭha|rukma-pṛṣṭha	"[{""step"": 1, ""member"": ""pṛṣṭha"", ""ru"": ""спина"", ""ru_variants"": [""спина"", ""спину"", ""спине""], ""tail"": ""pṛṣṭha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rukma"", ""ru"": ""золотое украшение"", ""ru_variants"": [""золотое украшение"", ""золота"", ""золотая пластинка""], ""tail"": ""rukma-pṛṣṭha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājadharmāṇāṁ	rAjaDarmARAṁ	2	7	редкие	rājan|dharma	царь|дхарма	dharma|rājan-dharma	"[{""step"": 1, ""member"": ""dharma"", ""ru"": ""дхарма"", ""ru_variants"": [""дхарма"", ""дхармы"", ""закон""], ""tail"": ""dharma"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājan"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""о царь""], ""tail"": ""rājan-dharma"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājadvāram	rAjadvAram	2	7	редкие	rājan|dvāra	царь|врата	dvāra|rājan-dvāra	"[{""step"": 1, ""member"": ""dvāra"", ""ru"": ""врата"", ""ru_variants"": [""врата"", ""ворота"", ""двери""], ""tail"": ""dvāra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājan"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""о царь""], ""tail"": ""rājan-dvāra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājakāryāṇi	rAjakAryARi	2	7	редкие	rājan|kārya	царь|дело	kārya|rājan-kārya	"[{""step"": 1, ""member"": ""kārya"", ""ru"": ""дело"", ""ru_variants"": [""дело"", ""следствие"", ""дела""], ""tail"": ""kārya"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājan"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""о царь""], ""tail"": ""rājan-kārya"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājaputre	rAjaputre	2	7	редкие	rājan|putra	царь|сын	putra|rājan-putra	"[{""step"": 1, ""member"": ""putra"", ""ru"": ""сын"", ""ru_variants"": [""сын"", ""сына"", ""сыновей""], ""tail"": ""putra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājan"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""о царь""], ""tail"": ""rājan-putra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājaputryāḥ	rAjaputryAH	2	7	редкие	rājan|putrī	царь|дочь	putrī|rājan-putrī	"[{""step"": 1, ""member"": ""putrī"", ""ru"": ""дочь"", ""ru_variants"": [""дочь"", ""дочь моя"", ""дочерью""], ""tail"": ""putrī"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājan"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""о царь""], ""tail"": ""rājan-putrī"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājarṣayo	rAjarzayo	2	7	редкие	rājan|ṛṣi	царь|риши	ṛṣi|rājan-ṛṣi	"[{""step"": 1, ""member"": ""ṛṣi"", ""ru"": ""риши"", ""ru_variants"": [""риши"", ""мудрец"", ""мудрецы""], ""tail"": ""ṛṣi"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājan"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""о царь""], ""tail"": ""rājan-ṛṣi"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājarṣibhiḥ	rAjarziBiH	2	7	редкие	rājan|ṛṣi	царь|риши	ṛṣi|rājan-ṛṣi	"[{""step"": 1, ""member"": ""ṛṣi"", ""ru"": ""риши"", ""ru_variants"": [""риши"", ""мудрец"", ""мудрецы""], ""tail"": ""ṛṣi"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājan"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""о царь""], ""tail"": ""rājan-ṛṣi"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājasahasrāṇi	rAjasahasrARi	2	7	редкие	rāja|sahasra	царь|тысяч	sahasra|rāja-sahasra	"[{""step"": 1, ""member"": ""sahasra"", ""ru"": ""тысяч"", ""ru_variants"": [""тысяч"", ""тысячи"", ""тысячу""], ""tail"": ""sahasra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rāja"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""Царь""], ""tail"": ""rāja-sahasra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājasahasrāṇi	rAjasahasrARi	2	7	редкие	rājan|sahasra	царь|тысяч	sahasra|rājan-sahasra	"[{""step"": 1, ""member"": ""sahasra"", ""ru"": ""тысяч"", ""ru_variants"": [""тысяч"", ""тысячи"", ""тысячу""], ""tail"": ""sahasra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājan"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""о царь""], ""tail"": ""rājan-sahasra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājasūyāśvamedhābhyāṁ	rAjasUyASvameDAByAṁ	2	7	редкие	rājasūya|aśvamedha	Раджасуя|ашвамедхи	aśvamedha|rājasūya-aśvamedha	"[{""step"": 1, ""member"": ""aśvamedha"", ""ru"": ""ашвамедхи"", ""ru_variants"": [""ашвамедхи"", ""ашвамедха"", ""Ашвамедха""], ""tail"": ""aśvamedha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājasūya"", ""ru"": ""Раджасуя"", ""ru_variants"": [""Раджасуя"", ""раджасуя"", ""жертвоприношение Раджасуя""], ""tail"": ""rājasūya-aśvamedha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājaveśma	rAjaveSma	2	7	редкие	rājan|veśman	царь|дворец	veśman|rājan-veśman	"[{""step"": 1, ""member"": ""veśman"", ""ru"": ""дворец"", ""ru_variants"": [""дворец"", ""дом"", ""покои""], ""tail"": ""veśman"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājan"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""о царь""], ""tail"": ""rājan-veśman"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājyārthe	rAjyArTe	2	7	редкие	rājya|artha	царство|ради	artha|rājya-artha	"[{""step"": 1, ""member"": ""artha"", ""ru"": ""ради"", ""ru_variants"": [""ради"", ""для"", ""смысл""], ""tail"": ""artha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājya"", ""ru"": ""царство"", ""ru_variants"": [""царство"", ""царства"", ""царством""], ""tail"": ""rājya-artha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājānnaṁ	rAjAnnaṁ	2	7	редкие	rājan|anna	царь|пища	anna|rājan-anna	"[{""step"": 1, ""member"": ""anna"", ""ru"": ""пища"", ""ru_variants"": [""пища"", ""пищу"", ""пищи""], ""tail"": ""anna"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājan"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""о царь""], ""tail"": ""rājan-anna"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājānubhāvena	rAjAnuBAvena	2	7	редкие	rājan|anubhāva	царь|духом	anubhāva|rājan-anubhāva	"[{""step"": 1, ""member"": ""anubhāva"", ""ru"": ""духом"", ""ru_variants"": [""духом"", ""причине"", ""сила подвижника""], ""tail"": ""anubhāva"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājan"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""о царь""], ""tail"": ""rājan-anubhāva"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rājārhaṁ	rAjArhaṁ	2	7	редкие	rājan|arha	царь|достоин	arha|rājan-arha	"[{""step"": 1, ""member"": ""arha"", ""ru"": ""достоин"", ""ru_variants"": [""достоин"", ""должны"", ""подобает""], ""tail"": ""arha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rājan"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""о царь""], ""tail"": ""rājan-arha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rākṣasaśreṣṭhaḥ	rAkzasaSrezWaH	2	7	редкие	rākṣasa|śreṣṭha	ракшасов|лучший	śreṣṭha|rākṣasa-śreṣṭha	"[{""step"": 1, ""member"": ""śreṣṭha"", ""ru"": ""лучший"", ""ru_variants"": [""лучший"", ""наилучший"", ""лучшее""], ""tail"": ""śreṣṭha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rākṣasa"", ""ru"": ""ракшасов"", ""ru_variants"": [""ракшасов"", ""ракшасы"", ""ракшаса""], ""tail"": ""rākṣasa-śreṣṭha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rātriśeṣe	rAtriSeze	2	7	редкие	rātri|śeṣa	ночь|остальные	śeṣa|rātri-śeṣa	"[{""step"": 1, ""member"": ""śeṣa"", ""ru"": ""остальные"", ""ru_variants"": [""остальные"", ""остаток"", ""Шеша""], ""tail"": ""śeṣa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rātri"", ""ru"": ""ночь"", ""ru_variants"": [""ночь"", ""ночи"", ""ночью""], ""tail"": ""rātri-śeṣa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rūpeṇāpratimāṁ	rUpeRApratimAṁ	2	7	редкие	rūpa|apratima	образ|несравненный	apratima|rūpa-apratima	"[{""step"": 1, ""member"": ""apratima"", ""ru"": ""несравненный"", ""ru_variants"": [""несравненный"", ""бесподобный"", ""не было равных""], ""tail"": ""apratima"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rūpa"", ""ru"": ""образ"", ""ru_variants"": [""образ"", ""облик"", ""формы""], ""tail"": ""rūpa-apratima"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rūpeṇāsadṛśī	rUpeRAsadfSI	2	7	редкие	rūpa|asadṛśa	образ|не подобают	asadṛśa|rūpa-asadṛśa	"[{""step"": 1, ""member"": ""asadṛśa"", ""ru"": ""не подобают"", ""ru_variants"": [""не подобают"", ""не сходные"", ""бесподобному""], ""tail"": ""asadṛśa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rūpa"", ""ru"": ""образ"", ""ru_variants"": [""образ"", ""облик"", ""формы""], ""tail"": ""rūpa-asadṛśa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rūpāḍhyaṁ	rUpAQyaṁ	2	7	редкие	rūpa|āḍhya	образ|богат	āḍhya|rūpa-āḍhya	"[{""step"": 1, ""member"": ""āḍhya"", ""ru"": ""богат"", ""ru_variants"": [""богат"", ""богатый"", ""богатые""], ""tail"": ""āḍhya"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rūpa"", ""ru"": ""образ"", ""ru_variants"": [""образ"", ""облик"", ""формы""], ""tail"": ""rūpa-āḍhya"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sabāhyābhyantaraṁ	sabAhyAByantaraṁ	2	7	редкие	sabāhya|abhyantara	снаружи|внутреннее	abhyantara|sabāhya-abhyantara	"[{""step"": 1, ""member"": ""abhyantara"", ""ru"": ""внутреннее"", ""ru_variants"": [""внутреннее"", ""внутрь"", ""внутренних""], ""tail"": ""abhyantara"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sabāhya"", ""ru"": ""снаружи"", ""ru_variants"": [""снаружи""], ""tail"": ""sabāhya-abhyantara"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sahasrabāhur	sahasrabAhur	2	7	редкие	sahasra|bāhu	тысяч|руки	bāhu|sahasra-bāhu	"[{""step"": 1, ""member"": ""bāhu"", ""ru"": ""руки"", ""ru_variants"": [""руки"", ""руками"", ""рук""], ""tail"": ""bāhu"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sahasra"", ""ru"": ""тысяч"", ""ru_variants"": [""тысяч"", ""тысячи"", ""тысячу""], ""tail"": ""sahasra-bāhu"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sahāpatiḥ	sahApatiH	2	7	редкие	sahā|pati	вместе с|мужа	pati|sahā-pati	"[{""step"": 1, ""member"": ""pati"", ""ru"": ""мужа"", ""ru_variants"": [""мужа"", ""муж"", ""господин""], ""tail"": ""pati"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sahā"", ""ru"": ""вместе с"", ""ru_variants"": [""вместе с"", ""владея"", ""и""], ""tail"": ""sahā-pati"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
samudrāntāṁ	samudrAntAṁ	2	7	редкие	samudra|anta	океан|конец	anta|samudra-anta	"[{""step"": 1, ""member"": ""anta"", ""ru"": ""конец"", ""ru_variants"": [""конец"", ""конца"", ""внутри""], ""tail"": ""anta"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""samudra"", ""ru"": ""океан"", ""ru_variants"": [""океан"", ""океана"", ""море""], ""tail"": ""samudra-anta"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
samīpastho	samIpasTo	2	7	редкие	samīpa|stha	к|стоит	stha|samīpa-stha	"[{""step"": 1, ""member"": ""stha"", ""ru"": ""стоит"", ""ru_variants"": [""стоит"", ""находитесь"", ""стой""], ""tail"": ""stha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""samīpa"", ""ru"": ""к"", ""ru_variants"": [""к"", ""вблизи"", ""рядом""], ""tail"": ""samīpa-stha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sapiṇḍatā	sapiRqatA	2	7	редкие	sapiṇḍa|tā	сапинд|эти	tā|sapiṇḍa-tā	"[{""step"": 1, ""member"": ""tā"", ""ru"": ""эти"", ""ru_variants"": [""эти"", ""они"", ""их""], ""tail"": ""tā"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sapiṇḍa"", ""ru"": ""сапинд"", ""ru_variants"": [""сапинд"", ""сапинды"", ""Сапинда""], ""tail"": ""sapiṇḍa-tā"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
saptavāreṇa	saptavAreRa	2	7	редкие	saptan|vāra	семь|сито	vāra|saptan-vāra	"[{""step"": 1, ""member"": ""vāra"", ""ru"": ""сито"", ""ru_variants"": [""сито"", ""сите"", ""в сите""], ""tail"": ""vāra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""saptan"", ""ru"": ""семь"", ""ru_variants"": [""семь"", ""семью"", ""семеро""], ""tail"": ""saptan-vāra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
saridvarāḥ	saridvarAH	2	7	редкие	sarit|vara	реки|лучший	vara|sarit-vara	"[{""step"": 1, ""member"": ""vara"", ""ru"": ""лучший"", ""ru_variants"": [""лучший"", ""дар"", ""наилучший""], ""tail"": ""vara"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sarit"", ""ru"": ""реки"", ""ru_variants"": [""реки"", ""рек"", ""река""], ""tail"": ""sarit-vara"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sarpirodana	sarpirodana	2	7	редкие	sarpis|odana	маслом|каша	odana|sarpis-odana	"[{""step"": 1, ""member"": ""odana"", ""ru"": ""каша"", ""ru_variants"": [""каша"", ""рисовую кашу"", ""каши""], ""tail"": ""odana"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sarpis"", ""ru"": ""маслом"", ""ru_variants"": [""маслом"", ""очищенным маслом"", ""очищенного масла""], ""tail"": ""sarpis-odana"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sarvajñatāyām	sarvajYatAyAm	2	7	редкие	sarvajña|tā	всезнающий|эти	tā|sarvajña-tā	"[{""step"": 1, ""member"": ""tā"", ""ru"": ""эти"", ""ru_variants"": [""эти"", ""они"", ""их""], ""tail"": ""tā"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sarvajña"", ""ru"": ""всезнающий"", ""ru_variants"": [""всезнающий"", ""всеведущий"", ""всезнающ""], ""tail"": ""sarvajña-tā"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
satpathaḥ	satpaTaH	2	7	редкие	sat|patha	добродетельных|пути	patha|sat-patha	"[{""step"": 1, ""member"": ""patha"", ""ru"": ""пути"", ""ru_variants"": [""пути"", ""путь"", ""Пути""], ""tail"": ""patha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sat"", ""ru"": ""добродетельных"", ""ru_variants"": [""добродетельных"", ""сущее"", ""благочестивых""], ""tail"": ""sat-patha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
satpathaṁ	satpaTaṁ	2	7	редкие	sat|patha	добродетельных|пути	patha|sat-patha	"[{""step"": 1, ""member"": ""patha"", ""ru"": ""пути"", ""ru_variants"": [""пути"", ""путь"", ""Пути""], ""tail"": ""patha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sat"", ""ru"": ""добродетельных"", ""ru_variants"": [""добродетельных"", ""сущее"", ""благочестивых""], ""tail"": ""sat-patha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sattvarajastamāṁsi	sattvarajastamAṁsi	3	7	редкие	sattva|rajas|tamas	саттва|раджас|мрак	tamas|rajas-tamas|sattva-rajas-tamas	"[{""step"": 1, ""member"": ""tamas"", ""ru"": ""мрак"", ""ru_variants"": [""мрак"", ""тамас"", ""тьма""], ""tail"": ""tamas"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rajas"", ""ru"": ""раджас"", ""ru_variants"": [""раджас"", ""пространства"", ""пыль""], ""tail"": ""rajas-tamas"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}, {""step"": 3, ""member"": ""sattva"", ""ru"": ""саттва"", ""ru_variants"": [""саттва"", ""существо"", ""благость""], ""tail"": ""sattva-rajas-tamas"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sattvasthaḥ	sattvasTaH	2	7	редкие	sattva|stha	саттва|стоит	stha|sattva-stha	"[{""step"": 1, ""member"": ""stha"", ""ru"": ""стоит"", ""ru_variants"": [""стоит"", ""находитесь"", ""стой""], ""tail"": ""stha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sattva"", ""ru"": ""саттва"", ""ru_variants"": [""саттва"", ""существо"", ""благость""], ""tail"": ""sattva-stha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sattvatamasī	sattvatamasI	2	7	редкие	sattva|tamas	саттва|мрак	tamas|sattva-tamas	"[{""step"": 1, ""member"": ""tamas"", ""ru"": ""мрак"", ""ru_variants"": [""мрак"", ""тамас"", ""тьма""], ""tail"": ""tamas"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sattva"", ""ru"": ""саттва"", ""ru_variants"": [""саттва"", ""существо"", ""благость""], ""tail"": ""sattva-tamas"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
satyalokaṁ	satyalokaṁ	2	7	редкие	satya|loka	правду|мир	loka|satya-loka	"[{""step"": 1, ""member"": ""loka"", ""ru"": ""мир"", ""ru_variants"": [""мир"", ""миры"", ""мире""], ""tail"": ""loka"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""satya"", ""ru"": ""правду"", ""ru_variants"": [""правду"", ""истина"", ""правда""], ""tail"": ""satya-loka"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
satyatā	satyatA	2	7	редкие	satya|tā	правду|эти	tā|satya-tā	"[{""step"": 1, ""member"": ""tā"", ""ru"": ""эти"", ""ru_variants"": [""эти"", ""они"", ""их""], ""tail"": ""tā"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""satya"", ""ru"": ""правду"", ""ru_variants"": [""правду"", ""истина"", ""правда""], ""tail"": ""satya-tā"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
