k1	verdict	independent_hits	in_mw	kosa_hits	in_pw_same_source
mfgamadavAsA	mw-only		1	skd	1
mfganABijA	mw-only		1	skd	
mfganABija	mw-only		1		1
mfgapAlikA	text-independent	ap	1		1
mfgapiplu	mw-only		1		1
mfgarAjalakzman	mw-only		1		1
mfgarAwikA	mw-only		1	skd	1
mfgarasA	mw-only		1	skd	1
mfgaripu	mw-only		1		1
mfgaromaja	text-independent	ap	1		1
mfgatfz	text-independent	ap	1		1
mfgatoya	mw-only		1		1
mfgavAhana	mw-only		1		1
mfgavERika	mw-only		1		1
mfgava	text-independent	bhs	1		1
mfgavaDAjIva	text-independent	ap	1		1
mfgavallaBa	mw-only		1		1
mfgavana	mw-only		1		1
mfgavyADIya	mw-only		1		1
mfgekzaRa	mw-only		1		1
mfgendrARI	mw-only		1		1
mfgendrAsana	mw-only		1		1
mfgendracawaka	mw-only		1		1
mfgendramuKa	mw-only		1		1
mfgendratA	mw-only		1		1
mfgezwa	mw-only		1		1
mfja	mw-only		1	skd	1
mfkzakanAwaka	mw-only		1		1
mfnmAna	mw-only		1		1
mfnmaru	mw-only		1		1
mftARqa	mw-only		1		1
mftASana	text-independent	ap	1		1
mftAlaka	mw-only		1		1
mftAmada	mw-only		1		1
mftKalinI	mw-only		1	skd	1
mftPalI	text-independent	ap	1	skd	1
mftaRqa	mw-only		1		1
mftagfha	text-independent	bhs	1		1
mftahArin	text-independent	ap	1		1
mftakAntaka	mw-only		1		1
mftamatta	mw-only		1		1
mftapriyA	mw-only		1		1
mftasaMjIvin	mw-only		1		1
mftasaMskAra	mw-only		1		1
mftasnAna	mw-only		1		1
mftasnAta	mw-only		1		1
mftasvamoktar	pwg-unique				1
mftavArzika	text-independent	bhs	1		1
mftkAMsya	mw-only		1		1
mftkaRa	mw-only		1		1
mftkara	mw-only		1		1
mftkirA	text-independent	ap	1	skd	1
mftodBava	mw-only		1		1
mftsnABARqaka	mw-only		1		1
mfttAla	mw-only		1		1
mftyava	mw-only		1		1
mftyuBaNguraka	mw-only		1		1
mftyuBftya	mw-only		1		1
mftyuMjayatIrTa	mw-only		1		1
mftyujit	mw-only		1		1
mftyukanyA	mw-only		1		1
mftyulaNGanopanizad	mw-only		1		1
mftyumAra	text-independent	bhs	1		1
mftyumant	pwg-unique				1
mftyumftyu	mw-only		1		1
mftyunASaka	mw-only		1		1
mftyupuzpa	mw-only		1		1
mftyusaMjIvana	pwg-unique				
mftyusenA	mw-only		1		1
mftyutIrTa	mw-only		1		1
mftyuvaYcana	mw-only		1		1
mfzABAzin	text-independent	ap	1		1
mfzADyAyin	text-independent	ap	1		1
mfzAlaka	mw-only		1		1
mfzArTaka	text-independent	ap	1		
mfzodya	mw-only		1		1
mfzweruka	text-independent	ap90|ap	1		1
miSara	mw-only		1		
miSfza	mw-only		1		1
miSi	mw-only		1		1
miSraBAva	mw-only		1		1
miSraSabda	mw-only		1		1
miSracaturBuja	mw-only		1		1
miSrajAti	text-independent	ap	1		1
miSraja	mw-only		1		1
miSrakeSava	mw-only		1		1
miSralawakana	mw-only		1		1
miSrapuzpA	mw-only		1	skd	1
miSravarRa	text-independent	ap	1		1
miSravarRaPalA	mw-only		1	skd	1
miSravyavahAra	mw-only		1		1
miSreyA	text-independent	ap	1	skd	1
miTyABiyoga	mw-only		1		1
miTyAcaryA	text-independent	ap	1		1
miTyAdarSana	text-independent	bhs	1		1
miTyAdfzwi	text-independent	bhs	1		1
miTyAmAna	text-independent	bhs	1		1
miTyAmati	mw-only		1		1
miTyAnirasana	mw-only		1		1
miTyApravftti	mw-only		1		1
miTyApuruza	mw-only		1		1
miTyAtva	text-independent	bhs	1		1
miTyAvAda	mw-only		1		1
miTyottara	mw-only		1		1
midDa	text-independent	bhs	1		1
mihikA	text-independent	ap90|ap	1	skd	1
mihirARa	mw-only		1		
mihirarati	mw-only		1		1
mimaNkzA	mw-only		1		1
mimanTizA	text-independent	ap	1		1
mimanTizu	mw-only		1		1
minmina	text-independent	ap	1		1
mirAKAna	mw-only		1		1
miraPa	mw-only		1		1
misarUmiSra	pwg-unique				1
misara	mw-only		1		
misaru	mw-only		1		
mitaBukta	text-independent	ap	1		
mitaMgama	text-independent	ap90|ap	1		1
mitamati	text-independent	ap	1		1
mitavAc	text-independent	ap	1		1
mitokti	mw-only		1		1
mitrIy	pwg-unique				1
mitra	text-independent	bhs|gra	1		1
mitradrohin	text-independent	ap	1		1
mitrakOstuBa	mw-only		1		1
mitramiSra	mw-only		1		1
mitrasaptamI	text-independent	ap	1	skd	1
mitravarcas	mw-only		1		1
mitravatsala	text-independent	ap	1		1
mitravid	mw-only		1		1
mitrayudDa	mw-only		1		1
mitrodaya	mw-only		1		1
mizamizAy	pwg-unique				1
mizi	mw-only		1		1
mizikA	text-independent	ap	1	skd	1
mizwapAcaka	mw-only		1		1
mlakta	mw-only		1		1
mlecCAKya	mw-only		1		1
mlecCASa	mw-only		1		1
mlecCAsya	mw-only		1		1
mlecCaBojana	mw-only		1		1
mlecCakanda	mw-only		1		1
mlecCamuKa	mw-only		1		1
mlecCita	text-independent	ap90|ap	1		1
moGapuzpA	text-independent	ap	1	skd	1
moGoli	mw-only		1		1
moQa	mw-only		1		1
moQaka	mw-only		1		1
moRa	mw-only		1		1
moRaka	mw-only		1		
mocAwa	mw-only		1		1
mocanapawwaka	text-independent	bhs	1		1
mocaniryAsa	mw-only		1		1
mocasAra	mw-only		1		1
mocasrAva	mw-only		1		
mocika	text-independent	bhs	1		1
mocin	mw-only		1		1
modAKya	mw-only		1		1
modAQyA	mw-only		1	skd	1
modAyani	mw-only		1		1
modamodinI	mw-only		1	skd	1
modayantikA	text-independent	ap			1
moga	mw-only		1		1
mohaSAstra	mw-only		1		1
mohaSUlottara	mw-only		1		1
mohacUqottara	mw-only		1		1
mohamaya	mw-only		1		1
mohamudgara	mw-only		1		1
mohanaBoga	mw-only		1		1
mohanadAsa	mw-only		1		1
mohanidrA	text-independent	ap	1		1
moharAtri	mw-only		1		1
mokalin	mw-only		1		1
mokzAy	pwg-unique				1
mokzaSAstra	mw-only		1		1
mokzalakzmIvilAsa	mw-only		1		1
mokzapurI	text-independent	ap	1		1
mokzasADana	mw-only		1		1
mokzatIrTa	mw-only		1		1
morI	mw-only		1		1
morawaka	mw-only		1		1
morikA	text-independent	ap|bhs	1		1
morvaRI	pwg-unique				
motIrAma	mw-only		1		
mowA	mw-only		1	skd	1
mowaka	text-independent	bhs	1		1
mowanaka	mw-only		1		1
mozA	text-independent	ap90|ap			
mozaka	text-independent	bhs	1		1
mozayitnu	mw-only		1		1
mozwar	pwg-unique				1
mrAtana	mw-only		1		1
mrakza	text-independent	bhs|gra	1	skd	1
mu	mw-only		1		1
muKAgni	mw-only		1		1
muKAgra	mw-only		1		1
muKAlu	mw-only		1		1
muKAmaya	mw-only		1		1
muKArjaka	mw-only		1		1
muKAstra	mw-only		1		1
muKa	text-independent	bhs|gra	1		1
muKaBUzaRa	mw-only		1		1
muKaBaNga	mw-only		1		1
muKaDOtA	mw-only		1	skd	1
muKaGaRwA	text-independent	ap	1	skd	1
muKaKura	mw-only		1		1
muKaMpaca	pwg-unique				1
muKaRqI	text-independent	ap	1		1
muKaSaPa	text-independent	ap	1		1
muKaSoDana	text-independent	ap	1		1
muKaSoDin	text-independent	ap	1		1
muKaSudDi	mw-only		1		1
muKabanDana	mw-only		1		1
muKacIrI	mw-only		1	skd	1
muKadUzaRa	mw-only		1		1
muKaganDaka	mw-only		1		1
muKagata	mw-only		1		1
muKalANgala	mw-only		1		1
muKalepa	mw-only		1		1
muKamaRqala	mw-only		1		1
muKamaRqanaka	mw-only		1		1
muKamoda	mw-only		1		1
muKanirIkzaka	mw-only		1		1
muKanivAsinI	text-independent	ap	1	skd	
muKapUraRa	mw-only		1		1
muKapiRqa	mw-only		1		1
muKasaMBava	pwg-unique				1
muKasura	mw-only		1		1
muKavAdya	mw-only		1		1
muKavAsana	mw-only		1		1
muKavAwikA	mw-only		1		1
muKavallaBa	mw-only		1		1
muKaviluRWikA	text-independent	ap	1	skd	1
muKavipulA	mw-only		1		1
muKavivAka	pwg-unique				
muKavizWA	text-independent	ap	1	skd	1
muKayantraRa	mw-only		1		1
muKazWIla	mw-only		1		1
muKolkA	text-independent	ap	1	skd	1
muKulI	mw-only		1		
muKya	text-independent	ap90|ap	1		1
muKyanfpa	mw-only		1		1
muKyarAj	mw-only		1		1
muMsala	mw-only		1		
muNgawa	mw-only		1		1
muRqAKyA	mw-only		1	skd	1
muRqAra	mw-only		1		1
muRqAsana	mw-only		1		1
muRqAyasa	mw-only		1		1
muRqISvaratIrTa	mw-only		1		1
muRqIrI	mw-only		1		1
muRqIrikA	mw-only		1	skd	1
muRqa	text-independent	ap|bhs	1		1
muRqaPala	mw-only		1		1
muRqaSAli	mw-only		1		1
muRqacaRaka	mw-only		1		1
muRqaka	text-independent	bhs	1		1
muRqakopanizad	text-independent	ap	1		1
muRqamAlA	pwg-unique				1
muRqanaka	mw-only		1		1
muRqapfzWa	mw-only		1		1
muRqarikA	pwg-unique				1
muRqeSvaratIrTa	mw-only		1		1
muRqita	text-independent	ap	1		1
muRqitikA	mw-only		1	skd	1
muSallaha	mw-only		1		1
muTaSila	mw-only		1		1
muYcaka	mw-only		1		1
muYjAditya	mw-only		1		1
muYjAla	mw-only		1		1
muYjakeSin	text-independent	ap	1		1
muYjara	mw-only		1		1
muc	text-independent	ap90|ap|gra	1		1
mucaka	mw-only		1		1
muci	text-independent	bhs	1		1
mucilinda	text-independent	bhs	1		1
mucuwI	text-independent	ap90|ap	1	skd	1
mudI	text-independent	ap90|ap	1		1
mudda	mw-only		1		1
mudgaBojin	text-independent	ap	1		
mudgaBuj	text-independent	ap	1		1
mudgagiri	mw-only		1		1
mudgapa	mw-only		1		1
mudgazwa	mw-only		1		1
mudrAbala	text-independent	bhs	1		1
mudrAlipi	text-independent	bhs	1		1
mudrAmArga	mw-only		1		1
mugDAcakra	mw-only		1		1
mugDaboDinI	mw-only		1		1
mugDadfS	text-independent	ap	1		1
mugDatA	text-independent	ap90|ap	1		1
mugUha	mw-only		1		1
mugadasa	mw-only		1		
mugademu	mw-only		1		
mugasTAna	pwg-unique				
muhUrta	text-independent	bhs|gra	1		1
muhUrtacintAmaRi	mw-only		1		1
muhUrtadIpaka	mw-only		1		1
muhUrtadIpikA	mw-only		1		1
muhUrtakalpadruma	mw-only		1		1
muhUrtamArtaRqa	mw-only		1		1
muhUrtatattva	mw-only		1		1
muhUrtavallaBA	mw-only		1		1
muhurBAzA	text-independent	ap	1		1
muhurBuj	text-independent	ap	1		1
muhurvacas	text-independent	ap	1		1
mukAriRA	mw-only		1		1
mukUlaka	mw-only		1		1
mukandaka	mw-only		1		1
muktAgAra	mw-only		1		1
muktAkAra	mw-only		1		1
muktAmAtar	pwg-unique				1
muktAmbara	mw-only		1		1
muktAprAlamba	mw-only		1		1
muktAprasU	mw-only		1		1
muktApuzpa	mw-only		1		1
muktAratna	mw-only		1		1
muktAsPowa	mw-only		1		1
muktAsana	text-independent	ap	1		1
muktAsraj	text-independent	ap	1		1
muktAtman	text-independent	ap	1		1
muktacakzus	text-independent	ap	1		1
muktahasta	text-independent	ap	1		1
muktakaYcuka	mw-only		1		1
muktakacCa	mw-only		1		1
muktanirmoka	mw-only		1		1
muktatva	mw-only		1		
muktavasana	mw-only		1		1
muktavyApAra	mw-only		1		1
mukteSvara	mw-only		1		1
muktigranTa	mw-only		1		1
muktikA	text-independent	bhs	1		1
muktimaRqapa	mw-only		1		1
muktimukta	mw-only		1		1
muktipUrdasyu	mw-only		1		1
muktivAda	mw-only		1		1
muku	mw-only		1		1
mukuRwI	mw-only		1		
mukulay	pwg-unique				1
mukundaBawwa	mw-only		1		1
mukundadeva	mw-only		1		1
mukundamiSra	pwg-unique				1
mukundamuni	mw-only		1		1
mukundapriya	mw-only		1		1
mukundarAma	pwg-unique				1
mukundu	mw-only		1		1
mukuweSvarItIrTa	pwg-unique				
mukuweSvara	mw-only		1		1
mukuzWa	mw-only		1		1
mukuzWaka	mw-only		1		1
mummaqideva	mw-only		1		1
mumukzutA	mw-only		1		1
munTahA	mw-only		1		1
muniBezaja	mw-only		1		1
muniKarjUrikA	mw-only		1		1
municCada	mw-only		1		1
munidruma	mw-only		1		1
munihata	text-independent	bhs	1		1
munipUga	mw-only		1		1
munipittala	mw-only		1		1
muniputraka	mw-only		1		1
munipuzpaka	mw-only		1		1
munisTAna	mw-only		1		1
munisuvrata	mw-only		1		1
munitaru	mw-only		1		1
munivrata	mw-only		1		1
munnaBawwa	mw-only		1		1
munyAlayatIrTa	mw-only		1		1
mur	text-independent	ap90|ap|gra	1		1
murAriBawwa	pwg-unique				1
murArimiSra	pwg-unique				1
murArinAwaka	mw-only		1		1
murArivijaya	mw-only		1		1
murBiRI	mw-only		1	skd	1
muraBid	text-independent	ap	1		1
muraRqa	mw-only		1		1
muracIpattana	mw-only		1		1
muradviz	text-independent	ap	1		1
muragaRqa	mw-only		1		1
murahan	text-independent	ap	1		1
murajaPala	mw-only		1		1
muralIDara	mw-only		1		1
muralikA	mw-only		1		1
muramardana	text-independent	ap	1		1
murandalA	text-independent	ap	1	skd	1
murmurIy	pwg-unique				1
murudeSa	mw-only		1		
murutARadeSa	mw-only		1		
musAragalva	mw-only		1		1
musalaka	text-independent	bhs	1		1
musawI	mw-only		1		1
mustABa	mw-only		1		1
mustAda	mw-only		1		1
mustagiri	mw-only		1		1
mustu	mw-only		1		1
mutya	mw-only		1		1
muzA	text-independent	ap90|ap	1	skd	1
muzWaka	mw-only		1		1
muzaka	mw-only		1		1
muzkaSUnya	mw-only		1		1
muzwidyUta	mw-only		1		1
muzwikAntaka	mw-only		1		1
muzwikasvastika	mw-only		1		1
nA	text-independent	ap90|ap	1	skd	1
nABIla	mw-only		1		1
nABaka	mw-only		1		1
nABeya	mw-only		1		1
nABiBU	mw-only		1		1
nABicakra	mw-only		1		1
nABigolaka	mw-only		1		1
nABiguqaka	mw-only		1		1
nABijAta	mw-only		1		1
nABija	mw-only		1		1
nABijanman	text-independent	ap	1		1
nABikaRwaka	mw-only		1		1
nABikapura	mw-only		1		1
nABivarza	mw-only		1		1
nASI	mw-only		1	skd	1
nATa	text-independent	gra	1	skd	1
nATakumAra	mw-only		1		1
nAdapurARa	mw-only		1		1
nAdavindUpanizad	pwg-unique				
nAdeya	text-independent	ap90|ap	1		1
nAdiga	mw-only		1		1
nAgABiBu	mw-only		1		1
nAgADipa	mw-only		1		1
nAgADipati	text-independent	bhs	1		1
nAgAKya	mw-only		1		1
nAgANganA	text-independent	ap	1		1
nAgAYcalA	text-independent	ap	1	skd	1
nAgAYjanA	text-independent	ap	1	skd	1
nAgAhva	mw-only		1		1
nAgAlAbu	mw-only		1		1
nAgAntaka	mw-only		1		1
nAgArAti	mw-only		1		1
nAgArjunIya	mw-only		1		1
nAga	text-independent	ap90|ap	1		1
nAgaBaginI	mw-only		1		1
nAgaBft	mw-only		1	skd	1
nAgaBid	mw-only		1		1
nAgaSuRqI	mw-only		1	skd	1
nAgabanDaka	mw-only		1		1
nAgabanDu	mw-only		1		
nAgaboDa	mw-only		1		1
nAgaboDin	mw-only		1		1
nAgabudDi	mw-only		1		1
nAgacCattrA	mw-only		1		1
nAgadalopama	mw-only		1		1
nAgadamanI	mw-only		1	skd	1
nAgadeRwikA	mw-only		1		1
nAgadevIya	mw-only		1		1
nAgadeva	mw-only		1		1
nAgadru	mw-only		1		1
nAgaganDA	mw-only		1	skd	1
nAgagarBa	mw-only		1		1
nAgahantrI	mw-only		1	skd	1
nAgahanu	mw-only		1		1
nAgajIvana	mw-only		1		1
nAgaja	mw-only		1		1
nAgajihvA	mw-only		1	skd	1
nAgajihvikA	text-independent	ap	1	skd	1
nAgakanda	mw-only		1		1
nAgakanyakA	text-independent	ap	1		1
nAgakarRa	mw-only		1		1
nAgakesara	mw-only		1		1
nAgakiYjalka	mw-only		1		1
nAgakumAra	mw-only		1		1
nAgamAra	mw-only		1		1
nAgamaRqalika	text-independent	bhs	1		1
nAgamalla	mw-only		1		1
nAgamatI	mw-only		1		1
nAgammA	mw-only		1		1
nAganABa	mw-only		1		1
nAganATa	mw-only		1		1
nAganAmaka	mw-only		1		1
nAganAman	text-independent	ap	1		1
nAganakzatra	mw-only		1		1
nAganiryUha	mw-only		1		1
nAgapASaka	mw-only		1		1
nAgapEya	mw-only		1		1
nAgapaYcamI	text-independent	ap	1	skd	1
nAgapada	mw-only		1		1
nAgaparRI	text-independent	ap	1		1
nAgapattrI	pwg-unique				
nAgapuzpaPalA	mw-only		1	skd	1
nAgapuzpikA	mw-only		1	skd	1
nAgarAhva	mw-only		1		1
nAgarAjapadDati	mw-only		1		1
nAgarAvalambikA	mw-only		1		1
nAgarIwa	mw-only		1		1
nAgarUpaDfk	mw-only		1		1
nAgara	text-independent	ap90|ap|bhs	1		1
nAgaraGana	mw-only		1		1
nAgaraNga	mw-only		1		1
nAgaraka	text-independent	ap90|ap	1		1
nAgarakta	mw-only		1		1
nAgaramustA	mw-only		1	skd	1
nAgareRu	mw-only		1		1
nAgarikapura	mw-only		1		1
nAgarotTA	mw-only		1		1
nAgaruka	mw-only		1		1
nAgasPotA	kosa-only			skd	
nAgasaMBava	pwg-unique				1
nAgasena	mw-only		1		1
nAgastokaka	mw-only		1		1
nAgasuganDA	mw-only		1	skd	1
nAgasvarUpiRI	pwg-unique				
nAgatIrTa	mw-only		1		1
nAgavArika	mw-only		1		1
nAgavITI	text-independent	ap	1	skd	1
nAgavIwa	pwg-unique				1
nAgavallikA	kosa-only			skd	1
nAgavfkza	mw-only		1		1
nAgayazwi	mw-only		1		1
nAgeSa	mw-only		1		1
nAgeSvaratIrTa	mw-only		1		1
nAgila	mw-only		1		1
nAgoda	mw-only		1		1
nAgojI	pwg-unique				1
nAgulI	mw-only		1		
nAha	mw-only		1		1
nAhala	mw-only		1		
nAhuzi	mw-only		1		1
nAkApagA	text-independent	ap	1		1
nAkanATa	mw-only		1		1
nAkanAyaka	mw-only		1		1
nAkavanitA	text-independent	ap	1		1
nAkeSa	mw-only		1		1
nAkzatrika	text-independent	ap90|ap	1		1
nAlIpa	mw-only		1		1
nAlIvraRa	mw-only		1		1
nAlakinI	mw-only		1		1
nAlavaMSa	mw-only		1		1
nAlijaNGa	mw-only		1		1
nAlikApuzpa	mw-only		1		1
nAlika	mw-only		1		1
nAlikera	text-independent	ap90|ap|bhs	1		1
nAlitA	mw-only		1	skd	1
nAmAnuSAsana	mw-only		1		1
nAmAvalI	text-independent	ap	1		1
nAmaSeza	text-independent	ap	1		1
nAmadeva	mw-only		1		1
nAmadvAdaSI	text-independent	ap	1	skd	1
nAmaka	text-independent	ap90|ap|bhs	1		1
nAmaliNga	mw-only		1		1
nAmamAtra	text-independent	ap	1		1
nAman	text-independent	ap90|ap|bhs|gra	1		1
nAmaniDAna	mw-only		1		1
nAmaniyatapraveSa	text-independent	bhs	1		1
nAmapArAyaRa	mw-only		1		1
nAmasArodDAra	pwg-unique				1
nAmasaMgraha	mw-only		1		1
nAmatIrTa	mw-only		1		1
nAmatika	text-independent	bhs	1		1
nAmavarjita	text-independent	ap	1		1
nAmi	mw-only		1		
nAnADvani	mw-only		1		1
nAnAdIkzita	mw-only		1		1
nAnAkanda	mw-only		1		1
nAnApAWaka	mw-only		1		1
nAnArTa	text-independent	ap	1		1
nAnU	mw-only		1		1
nAna	text-independent	bhs	1		1
nAnanda	pwg-unique				1
nAndISrAdDa	mw-only		1		1
nAndIka	mw-only		1		1
nAndIpawa	mw-only		1		1
nAnda	mw-only		1		1
nAndin	text-independent	ap	1		1
nApitaSAlA	text-independent	ap	1		1
nAqISudDi	mw-only		1		1
nAqIca	mw-only		1		1
nAqIcaraRa	mw-only		1		1
nAqIdatta	mw-only		1		1
nAqIdeha	mw-only		1		1
nAqIhiNgu	mw-only		1	skd	1
nAqIkela	mw-only		1		1
nAqInakzatra	mw-only		1		1
nAqIsneha	mw-only		1		1
nAqItaraMga	mw-only		1		1
nAqItikta	mw-only		1		1
nAqIvigraha	mw-only		1		1
nAqa	text-independent	ap90|ap|bhs	1		1
nAqicIra	mw-only		1		1
nAqikAdatta	mw-only		1		1
nAqikela	mw-only		1		1
nAqimaRqala	mw-only		1		1
nAqipattra	mw-only		1		1
nArASarya	mw-only		1		1
nArAca	mw-only		1		1
nArAcaka	mw-only		1		1
nArAcikA	text-independent	ap90|ap	1	skd	
nArAyaRASrama	mw-only		1		1
nArAyaRAy	pwg-unique				1
nArAyaRaBawwa	pwg-unique				1
nArAyaRabali	mw-only		1		1
nArAyaRacakravartin	mw-only		1		1
nArAyaRadAsasidDa	pwg-unique				1
nArAyaRadEvavid	pwg-unique				1
nArAyaRadIkzita	mw-only		1		1
nArAyaRadeva	mw-only		1		1
nArAyaRagItA	mw-only		1		1
nArAyaRakalpa	mw-only		1		1
nArAyaRapaRqita	pwg-unique				1
nArAyaRapadDati	mw-only		1		1
nArAyaRapriya	mw-only		1		1
nArAyaRasUri	mw-only		1		1
nArAyaRasarasvatI	pwg-unique				1
nArAyaRasvAmin	mw-only		1		1
nArAyaRatAra	mw-only		1		1
nArAyaRatIrTa	mw-only		1		1
nArAyaRatattvavAda	mw-only		1		1
nArAyaRavArttika	mw-only		1		1
nArAyaRendra	mw-only		1		1
nArAyaRopanizad	text-independent	ap	1		1
nArIca	mw-only		1		1
nArIkela	text-independent	bhs	1		1
nArIpattana	mw-only		1		1
nArItaraMgaka	mw-only		1		1
nArIzwA	text-independent	ap	1	skd	1
nAra	text-independent	ap90|ap	1		1
nAraNga	mw-only		1		1
nAraNgapattraka	mw-only		1		1
nAradIya	mw-only		1		1
nAradIyaka	pwg-unique				1
nAradeSvaratIrTa	mw-only		1		1
nAradvasava	pwg-unique				
nArajIvana	mw-only		1		1
nArakIwa	mw-only		1		1
nArakIya	text-independent	ap90|ap|bhs			1
nArakika	text-independent	ap90|ap	1		1
nAriNgakanda	mw-only		1		1
nArnamani	pwg-unique				1
nAropAyana	mw-only		1		1
nAryaNga	mw-only		1		1
nAryatikta	mw-only		1		1
nAsACinnI	mw-only		1		1
nAsAcCinnI	text-independent	ap		skd	
nAsAdAru	mw-only		1	skd	1
nAsAlu	mw-only		1		1
nAsAmUla	mw-only		1		1
nAsAsaMvedana	mw-only		1		1
nAsAura	pwg-unique				
nAsIra	mw-only		1		1
nAsikAcCinnI	pwg-unique				
nAsikAmala	mw-only		1		1
nAsika	mw-only		1		1
nAsikyaka	pwg-unique				1
nAstida	mw-only		1		1
nAsya	mw-only		1		1
nAtra	mw-only		1		1
nAvAroha	mw-only		1		1
nAvara	mw-only		1		1
nAvya	text-independent	ap90|ap	1		1
nAwAmra	mw-only		1		1
nAwakAvatAra	mw-only		1		1
nAwakaratnakoza	pwg-unique				
nAwera	mw-only		1		1
nAwyadarpaRa	mw-only		1		1
nAwyalocana	mw-only		1		1
nAya	text-independent	gra	1		1
nAyakADipa	mw-only		1		1
nAyakaratna	mw-only		1		1
nAyakatva	mw-only		1		1
nEBftya	text-independent	bhs	1		1
nEDana	text-independent	ap90|ap	1		1
nEScitya	mw-only		1		1
nESvAsa	mw-only		1		1
nEcika	mw-only		1		1
nEdra	text-independent	ap	1		1
nEkaBeda	text-independent	ap	1		1
nEkazeya	mw-only		1		1
nEmantraRaka	mw-only		1		1
nEmeya	mw-only		1		1
nEnAra	mw-only		1		1
nEpAlIyadevatAkalyARapaYcaviMSatikA	mw-only		1		
nEpAlika	text-independent	ap90|ap	1		1
nEpAtika	text-independent	ap90|ap	1		1
nErAtmya	text-independent	bhs	1		1
nErJara	mw-only		1		1
nErJariRa	pwg-unique				
nErayika	text-independent	bhs	1		1
nEryARika	text-independent	bhs	1		
nEsarpa	mw-only		1		1
nEstriMSika	mw-only		1		1
nEtuRqi	mw-only		1		1
nEvAsika	text-independent	bhs	1		1
nEvasaMjYAnAsaMjYAyatana	text-independent	bhs			1
nEyatya	mw-only		1		1
nEzadika	text-independent	bhs			1
nEzpeSikatva	pwg-unique				1
nIDra	mw-only		1		1
nIcEHkara	mw-only		1		1
nIcaBojya	mw-only		1		1
nIcagAmin	text-independent	ap	1		1
nIcajAti	mw-only		1		1
nIcakadamba	mw-only		1		1
nIcakin	text-independent	ap90|ap	1		1
nIcapaTa	mw-only		1		1
nIcavajra	mw-only		1		1
nIcoccavftta	mw-only		1		1
nIkAra	mw-only		1		1
nIkulaka	mw-only		1		1
nIlABa	mw-only		1		1
nIlANga	mw-only		1		1
nIlANgu	mw-only		1		1
nIlANkitadala	mw-only		1		1
nIlASI	mw-only		1		1
nIlASman	text-independent	ap	1		1
nIlAYjana	mw-only		1		1
nIlAYjasA	text-independent	ap	1	skd	1
nIlAbja	mw-only		1		1
nIlAdrikarRikA	mw-only		1		1
nIlAkza	mw-only		1		1
nIlAlikulasaMkula	mw-only		1		1
nIlAlu	mw-only		1		1
nIlAmbara	text-independent	ap	1		1
nIlAmbujanman	text-independent	ap	1		1
nIlAmlAna	mw-only		1		1
nIlAmlI	mw-only		1	skd	1
nIlAparAjitA	kosa-only			skd	1
nIlAruRa	pwg-unique				1
nIlAsana	mw-only		1		1
nIlAsura	mw-only		1		1
nIlIrAga	text-independent	ap	1		1
nIla	text-independent	ap90|ap|gra	1		1
nIlaBa	mw-only		1		1
nIlaBfNgarAja	mw-only		1		1
nIlaDvaja	mw-only		1		1
nIlaJiRwI	mw-only		1	skd	1
nIlaSigru	mw-only		1		1
nIlacCada	mw-only		1		1
nIlacCavI	mw-only		1		
nIlacandra	mw-only		1		1
nIlacarman	mw-only		1		1
nIladUrvA	mw-only		1		1
nIladruma	mw-only		1		1
nIlagaNgA	mw-only		1		1
nIlagaReSa	mw-only		1		1
nIlagiri	mw-only		1		1
nIlagirikarRikA	mw-only		1		1
nIlakaRA	mw-only		1		1
nIlakaRWAkza	mw-only		1		1
nIlakamala	mw-only		1		1
nIlakanda	mw-only		1		1
nIlakeSI	text-independent	ap	1		1
nIlakrAntA	mw-only		1	skd	1
nIlakrOYca	mw-only		1		1
nIlakuntalA	mw-only		1	skd	1
nIlakuraRwaka	mw-only		1		1
nIlakusumA	mw-only		1		1
nIlamADava	mw-only		1		1
nIlamAza	mw-only		1		1
nIlamIlika	mw-only		1		1
nIlamaRi	mw-only		1		1
nIlamallikA	mw-only		1		1
nIlamata	mw-only		1		1
nIlamfttikA	text-independent	ap	1	skd	1
nIlanirguRqI	mw-only		1	skd	1
nIlaniryAsaka	mw-only		1		1
nIlapaNka	mw-only		1		1
nIlapadma	mw-only		1		1
nIlaparRa	mw-only		1		1
nIlapattra	mw-only		1		1
nIlapiNgala	mw-only		1		1
nIlapiRqa	mw-only		1		1
nIlapicCa	mw-only		1		1
nIlapizwoqI	pwg-unique				
nIlapunarnavA	mw-only		1	skd	1
nIlapuzpikA	text-independent	ap	1	skd	1
nIlarUpaka	mw-only		1		1
nIlarudropanizad	mw-only		1		1
nIlasaMDyA	mw-only		1		1
nIlasarasvatI	mw-only		1		1
nIlasinduvAra	pwg-unique				
nIlaskandA	mw-only		1		1
nIlasvarUpa	mw-only		1		1
nIlatAla	mw-only		1		1
nIlatantra	mw-only		1		1
nIlataru	mw-only		1		1
nIlavIja	pwg-unique				
nIlavallI	mw-only		1	skd	1
nIlavarzABU	mw-only		1		1
nIlavasana	text-independent	ap	1		1
nIlavastra	mw-only		1		1
nIlavfkza	mw-only		1		1
nIlavfnta	mw-only		1		1
nIlavfntaka	mw-only		1		1
nIlavfza	mw-only		1		1
nIlavrata	mw-only		1		1
nIlavuhnA	kosa-only			skd	
nIlayazwikA	mw-only		1		1
nIlotpalin	mw-only		1		1
nImAnuja	mw-only		1		1
nIparAja	mw-only		1		1
